yil,isletmemudurluk,isletmeseflik,adet,hektar
2014,AYDIN,akcaova,2,2.1
2014,AYDIN,aydin,3,2.4
2014,AYDIN,cine,0,0
2014,AYDIN,germencik,0,0
2014,AYDIN,karpuzlu,8,1.19
2014,AYDIN,kocarli,0,0
2014,AYDIN,kusadasi,2,0.41
2014,AYDIN,soke,0,0
2014,AYDIN,kosk,0,0
2014,AYDIN,madran,0,0
2014,AYDIN,didim,0,0
2014,FETHIYE,esenn,0,0
2014,FETHIYE,fethiye,3,3.31
2014,FETHIYE,gocek,3,0.3
2014,FETHIYE,guneydag,6,0.2
2014,FETHIYE,uzumlu,6,0.6
2014,FETHIYE,caldagi,0,0
2014,FETHIYE,karaculha,0,0
2014,KOYCEGIZ,agla,2,0.02
2014,KOYCEGIZ,akkopru,5,3.1
2014,KOYCEGIZ,beyobasi,4,0.5
2014,KOYCEGIZ,karacam,10,1.5
2014,KOYCEGIZ,koycegiz,2,0.2
2014,KOYCEGIZ,sultaniye,9,10.3
2014,KOYCEGIZ,balcilar,0,0
2014,KOYCEGIZ,cayhisar,0,0
2014,KOYCEGIZ,otmanlar,0,0
2014,MARMARIS,bayir,1,0.01
2014,MARMARIS,cetibeli,3,1
2014,MARMARIS,datca,7,2.6
2014,MARMARIS,hisaronu,5,0.4
2014,MARMARIS,marmaris,11,44.4
2014,MARMARIS,emecik,0,0
2014,MARMARIS,karaca,0,0
2014,MILAS,bodrum,4,2.4
2014,MILAS,karacahisar,11,544.8
2014,MILAS,kayadere,3,0.9
2014,MILAS,milas,10,20.6
2014,MILAS,oren,8,1.1
2014,MILAS,saricay,11,2.8
2014,MILAS,selimiye,1,0.01
2014,MILAS,gürcamlar,4,1
2014,MILAS,mumcular,2,0.09
2014,MILAS,cokertme,0,0
2014,MILAS,guvercinlik,0,0
2014,MILAS,labranda,0,0
2014,MILAS,bafa,0,0
2014,MILAS,yali,0,0
2014,MUGLA,denizova,5,3.4
2014,MUGLA,gokova,5,6.1
2014,MUGLA,mugla,3,0.2
2014,MUGLA,yaras,5,1.3
2014,MUGLA,yerkesik,6,0.6
2014,MUGLA,ula,4,0.6
2014,MUGLA,karabortlen,6,1.33
2014,MUGLA,yesilyurt,4,0.1
2014,NAZILLI,bozdogan,11,4.8
2014,NAZILLI,karacasu,10,7.8
2014,NAZILLI,karincalidag,1,0.2
2014,NAZILLI,kemerbaraji,6,2.3
2014,NAZILLI,kuyucak,2,0.3
2014,NAZILLI,nazilli,3,6.3
2014,NAZILLI,saricaova,2,0.4
2014,NAZILLI,yenice,4,0.2
2014,NAZILLI,yenipazar,0,0
2014,NAZILLI,bozbey,0,0
2014,NAZILLI,kartal,0,0
2014,NAZILLI,karlik,0,0
2014,NAZILLI,menderes,0,0
2014,NAZILLI,bozyaka,0,0
2014,YATAGAN,bagyaka,2,0.1
2014,YATAGAN,mentescayi,2,0.1
2014,YATAGAN,turgut,6,1.7
2014,YATAGAN,yatagan,2,0.02
2014,YATAGAN,kavak,0,0
2014,YATAGAN,bencik,0,0
2014,YILANLI,boyali,4,3.2
2014,YILANLI,goktepe,0,0
2014,YILANLI,yilanli,0,0
2014,YILANLÝ,muratlar,2,0.3
2014,YILANLI,senyayla,10,2.4
2014,YILANLI,cakmak,3,0.01
2014,YILANLI,yorukoglu,0,0
2014,YILANLI,namnam,0,0
2014,YILANLI,cinar,0,0
2014,YILANLI,kizilkaya,0,0
2014,KAVAKLIDERE,belibol,0,0
2014,KAVAKLIDERE,gokcay,7,1.2
2014,KAVAKLIDERE,kavaklidere,3,0.3
2014,KAVAKLIDERE,mentese,0,0
2014,KAVAKLIDERE,cayboyu,0,0
2014,DALAMAN,bahtiyar,9,1.9
2014,DALAMAN,caldere,6,1.1
2014,DALAMAN,dalaman,4,0.2
2014,DALAMAN,ortaca,3,7.3
2014,DALAMAN,kavacik,0,0
2014,DALAMAN,narli,0,0
2014,SEYDIKEMER,yapraktepe,6,0.6
2014,SEYDIKEMER,kemer,0,0
2014,SEYDIKEMER,seki,3,0.3
2014,SEYDIKEMER,saklikent,8,1.1
2014,SEYDIKEMER,esen,14,10.9
2014,SEYDIKEMER,akcay,3,0.3
2014,SEYDIKEMER,pasali,0,0
2014,SEYDIKEMER,karadere,0,0
2014,SEYDIKEMER,seydikemer,0,0
2015,AYDIN,akcaova,2,5.1
2015,AYDIN,aydin,3,2.1
2015,AYDIN,cine,0,0
2015,AYDIN,germencik,1,1.2
2015,AYDIN,karpuzlu,0,0
2015,AYDIN,kocarli,2,1.1
2015,AYDIN,kusadasi,0,0
2015,AYDIN,soke,1,0.5
2015,AYDIN,kosk,0,0
2015,AYDIN,madran,0,0
2015,AYDIN,didim,0,0
2015,FETHIYE,esenn,0,0
2015,FETHIYE,fethiye,4,5.4
2015,FETHIYE,gocek,1,0
2015,FETHIYE,guneydag,5,0.9
2015,FETHIYE,uzumlu,3,2.1
2015,FETHIYE,caldagi,0,0
2015,FETHIYE,karaculha,0,0
2015,KOYCEGIZ,agla,0,0
2015,KOYCEGIZ,akkopru,7,8
2015,KOYCEGIZ,beyobasi,4,2.8
2015,KOYCEGIZ,karacam,8,1.17
2015,KOYCEGIZ,koycegiz,2,91.7
2015,KOYCEGIZ,sultaniye,1,0
2015,KOYCEGIZ,balcilar,0,0
2015,KOYCEGIZ,cayhisar,0,0
2015,KOYCEGIZ,otmanlar,0,0
2015,MARMARIS,bayir,0,0
2015,MARMARIS,cetibeli,1,0
2015,MARMARIS,datca,9,0.285
2015,MARMARIS,hisaronu,2,0.1
2015,MARMARIS,marmaris,14,0.7
2015,MARMARIS,emecik,0,0
2015,MARMARIS,karaca,0,0
2015,MILAS,bodrum,2,0.3
2015,MILAS,karacahisar,5,3.9
2015,MILAS,kayadere,5,1.2
2015,MILAS,milas,2,1
2015,MILAS,oren,2,0.4
2015,MILAS,saricay,7,13.5
2015,MILAS,selimiye,2,0.25
2015,MILAS,gürcamlar,2,2.2
2015,MILAS,mumcular,4,1.3
2015,MILAS,cökertme,0,0
2015,MILAS,guvercinlik,0,0
2015,MILAS,labranda,0,0
2015,MILAS,bafa,0,0
2015,MILAS,yali,0,0
2015,MUGLA,denizova,2,0.5
2015,MUGLA,gokova,4,1.9
2015,MUGLA,mugla,3,0.1
2015,MUGLA,yaras,2,1.5
2015,MUGLA,yerkesik,1,0
2015,MUGLA,ula,6,0.5
2015,MUGLA,karabortlen,9,0.76
2015,MUGLA,yesilyurt,2,0
2015,NAZILLI,bozdogan,7,1.5
2015,NAZILLI,karacasu,4,0.9
2015,NAZILLI,karincalidag,1,0.1
2015,NAZILLI,kemerbaraji,6,0.5
2015,NAZILLI,kuyucak,4,1.4
2015,NAZILLI,nazilli,6,5.2
2015,NAZILLI,saricaova,0,0
2015,NAZILLI,yenice,3,0.3
2015,NAZILLI,yenipazar,1,0.4
2015,NAZILLI,bozbey,0,0
2015,NAZILLI,kartal,0,0
2015,NAZILLI,karlik,0,0
2015,NAZILLI,menderes,0,0
2015,NAZILLI,bozyaka,0,0
2015,YATAGAN,bagyaka,5,1
2015,YATAGAN,mentescayi,5,0.7
2015,YATAGAN,turgut,11,2.9
2015,YATAGAN,yatagan,5,0.11
2015,YATAGAN,kavak,0,0
2015,YATAGAN,bencik,0,0
2015,YILANLI,boyali,1,0.01
2015,YILANLI,goktepe,0,0
2015,YILANLI,yilanli,3,0.23
2015,YILANLI,muratlar,2,0.21
2015,YILANLI,senyayla,4,0.04
2015,YILANLI,cakmak,1,0.01
2015,YILANLI,yorukoglu,0,0
2015,YILANLI,namnam,1,0.01
2015,YILANLI,cinar,0,0
2015,YILANLI,kizilkaya,0,0
2015,KAVAKLIDERE,belibol,0,0
2015,KAVAKLIDERE,gokcay,6,3.9
2015,KAVAKLIDERE,kavaklidere,1,0.1
2015,KAVAKLIDERE,mentese,0,0
2015,KAVAKLIDERE,cayboyu,0,0
2015,DALAMAN,bahtiyar,2,1.3
2015,DALAMAN,caldere,7,1.4
2015,DALAMAN,dalaman,9,0.6
2015,DALAMAN,ortaca,3,0.14
2015,DALAMAN,kavacik,0,0
2015,DALAMAN,narli,0,0
2015,SEYDIKEMER,yapraktepe,3,0.3
2015,SEYDIKEMER,kemer,0,0
2015,SEYDIKEMER,seki,3,0.3
2015,SEYDIKEMER,saklikent,5,0.6
2015,SEYDIKEMER,esen,11,1.4
2015,SEYDIKEMER,akcay,4,0.7
2015,SEYDIKEMER,pasali,0,0
2015,SEYDIKEMER,karadere,0,0
2015,SEYDIKEMER,seydikemer,0,0
2016,AYDIN,akcaova,8,4.66
2016,AYDIN,aydin,4,24.43
2016,AYDIN,cine,4,46.13
2016,AYDIN,germencik,5,9.3
2016,AYDIN,karpuzlu,4,7.3
2016,AYDIN,kocarli,4,1.69
2016,AYDIN,kusadasi,2,0.28
2016,AYDIN,soke,1,0.1
2016,AYDIN,kosk,0,0
2016,AYDIN,madran,0,0
2016,AYDIN,didim,0,0
2016,FETHIYE,esenn,0,0
2016,FETHIYE,fethiye,13,0.99
2016,FETHIYE,gocek,3,0
2016,FETHIYE,guneydag,1,0.1
2016,FETHIYE,uzumlu,4,0.1
2016,FETHIYE,caldagi,0,0
2016,FETHIYE,karaculha,0,0
2016,KOYCEGIZ,agla,5,0.47
2016,KOYCEGIZ,akkopru,3,0.3
2016,KOYCEGIZ,beyobasi,2,0.3
2016,KOYCEGIZ,karacam,9,0.8
2016,KOYCEGIZ,koycegiz,6,1.9
2016,KOYCEGIZ,sultaniye,4,1.6
2016,KOYCEGIZ,balcilar,0,0
2016,KOYCEGIZ,cayhisar,0,0
2016,KOYCEGIZ,otmanlar,0,0
2016,MARMARIS,bayir,3,3.23
2016,MARMARIS,cetibeli,3,0.1
2016,MARMARIS,datca,8,0.76
2016,MARMARIS,hisaronu,5,46.9
2016,MARMARIS,marmaris,11,0.4
2016,MARMARIS,emecik,0,0
2016,MARMARIS,karaca,0,0
2016,MILAS,bodrum,8,16.8
2016,MILAS,karacahisar,10,4.3
2016,MILAS,kayadere,3,2.2
2016,MILAS,milas,9,13.3
2016,MILAS,oren,16,7.4
2016,MILAS,saricay,4,0.9
2016,MILAS,selimiye,2,19.9
2016,MILAS,gürcamlar,2,2.01
2016,MILAS,mumcular,11,9.6
2016,MILAS,cökertme,0,0
2016,MILAS,guvercinlik,0,0
2016,MILAS,labranda,0,0
2016,MILAS,bafa,0,0
2016,MILAS,yali,0,0
2016,MUGLA,denizova,4,1.7
2016,MUGLA,gokova,4,0.2
