yil,yanginsebebi,adet,hektar
2014,ihmal,52,638.95
2014,kasit,49,21.99
2014,yildirim,126,20.74
2014,bilinmeyen,93,39.08
2015,ihmal,43,13.98
2015,kasit,39,9.02
2015,yildirim,78,11.05
2015,bilinmeyen,94,145.26
2016,ihmal,57,232.75
2016,kasit,28,16.58
2016,yildirim,111,68.25
2016,bilinmeyen,177,158.88
2017,ihmal,26,16.63
2017,kasit,11,79.06
2017,yildirim,70,6.65
2017,bilinmeyen,126,339.6
2018,ihmal,26,100.58
2018,kasit,4,0.32
2018,yildirim,178,41.48
2018,bilinmeyen,147,90.04
2019,ihmal,31,47.82
2019,kasit,15,114.5
2019,yildirim,132,32.05
2019,bilinmeyen,124,765.98
2020,ihmal,39,343.94
2020,kasit,12,6.436
2020,yildirim,82,11.17
2020,bilinmeyen,196,553.65
2021,ihmal,44,12832.84
2021,kasit,7,1.041
2021,yildirim,109,11.34
2021,bilinmeyen,209,39374.27
2022,ihmal,35,551.55
2022,kasit,12,4397.072
2022,yildirim,99,99
2022,bilinmeyen,135,849.11
2023,ihmal,34,12.29
2023,kasit,15,141.28
2023,yildirim,151,12.4
2023,bilinmeyen,123,239.4
